,intersection_id,tollgate_id,time_window,avg_travel_time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hours,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,A,B,C,1,2,3
0,B,3,2016/7/19 00:00,548.72,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,B,3,2016/7/19 03:00,513.22,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,1
2,B,3,2016/7/19 06:00,1125.22,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,1,0,0,0,0,0,0,0,1,0,0,0,1
3,B,3,2016/7/19 09:00,997.45,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,1,0,0,0,0,0,0,0,1,0,0,0,1
4,B,3,2016/7/19 12:00,1232.4,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,1,0,0,0,0,0,0,0,1,0,0,0,1
5,B,3,2016/7/19 15:00,1088.08,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,1,0,0,0,0,0,0,0,1,0,0,0,1
6,B,3,2016/7/19 18:00,841.71,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18,1,0,0,0,0,0,0,0,1,0,0,0,1
7,B,3,2016/7/19 21:00,698.02,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,21,1,0,0,0,0,0,0,0,1,0,0,0,1
8,B,3,2016/7/20 00:00,411.03,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
9,B,3,2016/7/20 03:00,681.83,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,3,0,1,0,0,0,0,0,0,1,0,0,0,1
10,B,3,2016/7/20 06:00,1467.68,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,6,0,1,0,0,0,0,0,0,1,0,0,0,1
11,B,3,2016/7/20 09:00,1057.17,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,9,0,1,0,0,0,0,0,0,1,0,0,0,1
12,B,3,2016/7/20 12:00,775.57,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,12,0,1,0,0,0,0,0,0,1,0,0,0,1
13,B,3,2016/7/20 15:00,1071.87,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,15,0,1,0,0,0,0,0,0,1,0,0,0,1
14,B,3,2016/7/20 18:00,939.87,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,18,0,1,0,0,0,0,0,0,1,0,0,0,1
15,B,3,2016/7/20 21:00,539.62,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,21,0,1,0,0,0,0,0,0,1,0,0,0,1
16,B,3,2016/7/21 00:00,150.78,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
17,B,3,2016/7/21 03:00,393.05,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,3,0,0,1,0,0,0,0,0,1,0,0,0,1
18,B,3,2016/7/21 06:00,933.46,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,6,0,0,1,0,0,0,0,0,1,0,0,0,1
19,B,3,2016/7/21 09:00,511.96,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,9,0,0,1,0,0,0,0,0,1,0,0,0,1
20,B,3,2016/7/21 12:00,874.81,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,12,0,0,1,0,0,0,0,0,1,0,0,0,1
21,B,3,2016/7/21 15:00,897.4,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,15,0,0,1,0,0,0,0,0,1,0,0,0,1
22,B,3,2016/7/21 18:00,1061.33,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,18,0,0,1,0,0,0,0,0,1,0,0,0,1
23,B,3,2016/7/21 21:00,768.77,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,21,0,0,1,0,0,0,0,0,1,0,0,0,1
24,B,3,2016/7/22 00:00,165.66,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
25,B,3,2016/7/22 03:00,654.56,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,3,0,0,0,1,0,0,0,0,1,0,0,0,1
26,B,3,2016/7/22 06:00,1164.23,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,6,0,0,0,1,0,0,0,0,1,0,0,0,1
27,B,3,2016/7/22 09:00,1054.13,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,9,0,0,0,1,0,0,0,0,1,0,0,0,1
28,B,3,2016/7/22 12:00,1004.52,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,12,0,0,0,1,0,0,0,0,1,0,0,0,1
29,B,3,2016/7/22 15:00,1105.08,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,15,0,0,0,1,0,0,0,0,1,0,0,0,1
30,B,3,2016/7/22 18:00,1021.01,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,18,0,0,0,1,0,0,0,0,1,0,0,0,1
31,B,3,2016/7/22 21:00,881.96,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,21,0,0,0,1,0,0,0,0,1,0,0,0,1
32,B,3,2016/7/23 00:00,716.92,1002.7,1007.5,221.0,2.4,31.3,69.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
33,B,3,2016/7/23 03:00,411.88,1002.5,1007.3,169.0,2.6,36.2,52.0,0.0,3,0,0,0,0,1,0,0,0,1,0,0,0,1
34,B,3,2016/7/23 06:00,907.91,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,6,0,0,0,0,1,0,0,0,1,0,0,0,1
35,B,3,2016/7/23 09:00,1053.87,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,9,0,0,0,0,1,0,0,0,1,0,0,0,1
36,B,3,2016/7/23 12:00,1032.83,1000.9,1005.7,106.0,1.5,35.6,50.0,0.0,12,0,0,0,0,1,0,0,0,1,0,0,0,1
